名前	グループ	プロファイル	有効	操作	優先	プログラム	ローカル アドレス	リモート アドレス	プロトコル	ローカル ポート	リモート ポート	承認されているコンピューター	承認されたローカル プリンシパル	ローカル ユーザー オーナー	アプリケーション パッケージ	
Windows Media Player ネットワーク共有サービス (TCP 送信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任意	ローカル サブネット	TCP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (UDP 送信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任意	ローカル サブネット	UDP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (UDP 送信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (UPnP 送信)	Windows Media Player ネットワーク共有サービス	すべて	いいえ	許可	いいえ	System	任意	ローカル サブネット	TCP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (UPnPHost 送信)	Windows Media Player ネットワーク共有サービス	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	TCP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (ストリーミング TCP 送信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (ストリーミング TCP 送信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任意	ローカル サブネット	TCP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 送信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任意	ローカル サブネット	UDP	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 送信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	
Windows デバイス管理証明書インストーラー (TCP 送信)	Windows デバイスの管理	すべて	はい	許可	いいえ	%SystemRoot%\system32\dmcertinst.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	
Windows デバイス管理登録サービス (TCP 送信)	Windows デバイスの管理	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	
Windows デバイス管理同期クライアント (TCP 送信)	Windows デバイスの管理	すべて	はい	許可	いいえ	%SystemRoot%\system32\omadmclient.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	
コア ネットワーク - DNS (UDP 送信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	任意	53	任意	任意	任意	任意	
コア ネットワーク - IPHTTPS (TCP-送信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	任意	IPHTTPS	任意	任意	任意	任意	
コア ネットワーク - IPv6 (IPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	IPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - IPv6 用動的ホスト構成プロトコル (DHCPV6-送信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	546	547	任意	任意	任意	任意	
コア ネットワーク - Teredo (UDP 送信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	
コア ネットワーク - インターネット グループ管理プロトコル (IGMP 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	IGMP	任意	任意	任意	任意	任意	任意	
コア ネットワーク - グループ ポリシー (LSASS 送信)	コア ネットワーク	ドメイン	はい	許可	いいえ	%SystemRoot%\system32\lsass.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	
コア ネットワーク - グループ ポリシー (NP 送信)	コア ネットワーク	ドメイン	はい	許可	いいえ	System	任意	任意	TCP	任意	445	任意	任意	任意	任意	
コア ネットワーク - グループ ポリシー (TCP 送信)	コア ネットワーク	ドメイン	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	
コア ネットワーク - パケットが大きすぎます (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - パラメーターの問題 (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー クエリ (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー レポート (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー レポート v2 (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー完了 (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - ルーター アドバタイズ (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	fe80::/64	ローカル サブネット, ff02::1, fe80::/64	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - ルーター要請 (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット, ff02::2, fe80::/64	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 近隣探索アドバタイズ (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 近隣探索要請 (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 時間超過 (ICMPv6 送信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 動的ホスト構成プロトコル (DHCP 送信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	68	67	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTP ストリーミング送信)	デバイス キャスト機能	ドメイン	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTP ストリーミング送信)	デバイス キャスト機能	プライベート	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	ローカル サブネット	UDP	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTP ストリーミング送信)	デバイス キャスト機能	パブリック	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	PlayTo レンダラー	UDP	任意	任意	任意	任意	任意	任意	
デバイス キャスト機能 (qWave TCP 送信)	デバイス キャスト機能	プライベート, パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	PlayTo レンダラー	TCP	任意	2177	任意	任意	任意	任意	
デバイス キャスト機能 (qWave UDP 送信)	デバイス キャスト機能	プライベート, パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	PlayTo レンダラー	UDP	任意	2177	任意	任意	任意	任意	
ネットワーク探索 (LLMNR UDP 送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	任意	5355	任意	任意	任意	任意	
ネットワーク探索 (NB データグラム送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	UDP	任意	138	任意	任意	任意	任意	
ネットワーク探索 (NB 名送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	UDP	任意	137	任意	任意	任意	任意	
ネットワーク探索 (Pub WSD 送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	任意	3702	任意	任意	任意	任意	
ネットワーク探索 (SSDP 送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	任意	1900	任意	任意	任意	任意	
ネットワーク探索 (UPnP 送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	任意	2869	任意	任意	任意	任意	
ネットワーク探索 (UPnPHost 送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	TCP	任意	2869	任意	任意	任意	任意	
ネットワーク探索 (WSD EventsSecure 送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	任意	5358	任意	任意	任意	任意	
ネットワーク探索 (WSD イベント送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	任意	5357	任意	任意	任意	任意	
ネットワーク探索 (WSD 送信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	任意	3702	任意	任意	任意	任意	
ファイルとプリンターの共有 (LLMNR UDP 送信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	任意	5355	任意	任意	任意	任意	
ファイルとプリンターの共有 (LLMNR UDP 送信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	任意	5355	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB データグラム送信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	UDP	任意	138	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB データグラム送信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	UDP	任意	138	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB 名送信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	UDP	任意	137	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB 名送信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	UDP	任意	137	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB-Session 送信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	TCP	任意	139	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB-Session 送信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	TCP	任意	139	任意	任意	任意	任意	
ファイルとプリンターの共有 (SMB 送信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	TCP	任意	445	任意	任意	任意	任意	
ファイルとプリンターの共有 (SMB 送信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	TCP	任意	445	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv4 送信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	ICMPv4	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv4 送信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	ICMPv4	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv6 送信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv6 送信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	
ルーティングとリモート アクセス (GRE 送信)	ルーティングとリモート アクセス	すべて	いいえ	許可	いいえ	System	任意	任意	GRE	任意	任意	任意	任意	任意	任意	
ルーティングとリモート アクセス (L2TP 送信)	ルーティングとリモート アクセス	すべて	いいえ	許可	いいえ	System	任意	任意	UDP	任意	1701	任意	任意	任意	任意	
ルーティングとリモート アクセス (PPTP 送信)	ルーティングとリモート アクセス	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	任意	1723	任意	任意	任意	任意	
分散トランザクション コーディネーター (TCP 送信)	分散トランザクション コーディネーター	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\msdtc.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	
