名前	グループ	プロファイル	有効	操作	優先	プログラム	ローカル アドレス	リモート アドレス	プロトコル	ローカル ポート	リモート ポート	承認されているユーザー	承認されているコンピューター	承認されたローカル プリンシパル	ローカル ユーザー オーナー	アプリケーション パッケージ	
SNMP サービス (UDP 受信)	SNMP サービス	ドメイン	はい	許可	いいえ	%SystemRoot%\system32\snmp.exe	任意	任意	UDP	161	任意	任意	任意	任意	任意	任意	
SNMP トラップ サービス (UDP 受信)	SNMP トラップ	プライベート, パブリック	いいえ	許可	いいえ	%SystemRoot%\system32\snmptrap.exe	任意	ローカル サブネット	UDP	162	任意	任意	任意	任意	任意	任意	
SNMP トラップ サービス (UDP 受信)	SNMP トラップ	ドメイン	いいえ	許可	いいえ	%SystemRoot%\system32\snmptrap.exe	任意	任意	UDP	162	任意	任意	任意	任意	任意	任意	
TPM 仮想スマートカード管理 (DCOM 受信)	TPM 仮想スマートカード管理	プライベート, パブリック	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	TCP	135	任意	任意	任意	任意	任意	任意	
TPM 仮想スマートカード管理 (DCOM 受信)	TPM 仮想スマートカード管理	ドメイン	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	135	任意	任意	任意	任意	任意	任意	
TPM 仮想スマートカード管理 (TCP 受信)	TPM 仮想スマートカード管理	ドメイン	いいえ	許可	いいえ	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
TPM 仮想スマートカード管理 (TCP 受信)	TPM 仮想スマートカード管理	プライベート, パブリック	いいえ	許可	いいえ	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	任意	ローカル サブネット	TCP	任意	任意	任意	任意	任意	任意	任意	
Windows Defender ファイアウォール リモート管理 (RPC)	Windows Defender ファイアウォール リモート管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
Windows Defender ファイアウォール リモート管理 (RPC-EPMAP)	Windows Defender ファイアウォール リモート管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
Windows Management Instrumentation (DCOM 受信)	Windows Management Instrumentation (WMI)	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	135	任意	任意	任意	任意	任意	任意	
Windows Management Instrumentation (WMI 受信)	Windows Management Instrumentation (WMI)	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
Windows Management Instrumentation (非同期受信)	Windows Management Instrumentation (WMI)	すべて	いいえ	許可	いいえ	%systemroot%\system32\wbem\unsecapp.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player (UDP 受信)	Windows Media Player	すべて	いいえ	許可	いいえ	%ProgramFiles%\Windows Media Player\wmplayer.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player x86 (UDP 受信)	Windows Media Player	すべて	いいえ	許可	いいえ	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	System	任意	任意	TCP	10243	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	System	任意	ローカル サブネット	TCP	10243	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (qWave TCP 受信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	2177	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (qWave TCP 受信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	TCP	2177	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (qWave UDP 受信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	2177	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (qWave UDP 受信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	2177	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (SSDP 受信)	Windows Media Player ネットワーク共有サービス	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	1900	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (TCP 受信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (TCP 受信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任意	ローカル サブネット	TCP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (UDP 受信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任意	ローカル サブネット	UDP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (UDP 受信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (UPnP 受信)	Windows Media Player ネットワーク共有サービス	すべて	いいえ	許可	いいえ	System	任意	ローカル サブネット	TCP	2869	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 受信)	Windows Media Player ネットワーク共有サービス	プライベート, パブリック	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任意	ローカル サブネット	UDP	任意	任意	任意	任意	任意	任意	任意	
