名前	グループ	プロファイル	有効	操作	優先	プログラム	ローカル アドレス	リモート アドレス	プロトコル	ローカル ポート	リモート ポート	承認されているユーザー	承認されているコンピューター	承認されたローカル プリンシパル	ローカル ユーザー オーナー	アプリケーション パッケージ	
ファイルとプリンターの共有 (Spooler Service - RPC)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	%SystemRoot%\system32\spoolsv.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv4 受信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	ICMPv4	任意	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv4 受信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	ICMPv4	任意	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv6 受信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (エコー要求 - ICMPv6 受信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (スプーラー サービス - RPC-EPMAP)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (スプーラー サービス - RPC-EPMAP)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
リモート イベント モニター (RPC)	リモート イベント モニター	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\NetEvtFwdr.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
リモート イベント モニター (RPC-EPMAP)	リモート イベント モニター	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
リモート イベント ログ管理 (RPC-EPMAP)	リモート イベントのログ管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
リモート イベントのログ管理 (NP 受信)	リモート イベントのログ管理	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	445	任意	任意	任意	任意	任意	任意	
リモート イベントのログ管理 (RPC)	リモート イベントのログ管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
リモート サービス管理 (NP 受信)	リモート サービス管理	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	445	任意	任意	任意	任意	任意	任意	
リモート サービス管理 (RPC)	リモート サービス管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\services.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
リモート サービス管理 (RPC-EPMAP)	リモート サービス管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
リモート シャットダウンの受信規則 (RPC-EP 受信)	リモート シャットダウン	すべて	いいえ	許可	いいえ	%systemroot%\system32\wininit.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
リモート シャットダウンの受信規則 (TCP 受信)	リモート シャットダウン	すべて	いいえ	許可	いいえ	%systemroot%\system32\wininit.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
リモート デスクトップ - シャドウ (TCP 受信)	リモート デスクトップ	すべて	はい	許可	いいえ	%SystemRoot%\system32\RdpSa.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
リモート デスクトップ - ユーザー モード (TCP 受信)	リモート デスクトップ	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	3389	任意	任意	任意	任意	任意	任意	
リモート デスクトップ - ユーザー モード (UDP 受信)	リモート デスクトップ	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	3389	任意	任意	任意	任意	任意	任意	
リモート デスクトップ - (TCP-WS-In)	リモート デスクトップ (WebSocket)	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	3387	任意	任意	任意	任意	任意	任意	
リモート デスクトップ - (TCP-WSS 受信)	リモート デスクトップ (WebSocket)	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	3392	任意	任意	任意	任意	任意	任意	
リモート ボリューム管理 - 仮想ディスク サービス (RPC)	リモート ボリューム管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\vds.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
リモート ボリューム管理 - 仮想ディスク サービス ローダー (RPC)	リモート ボリューム管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\vdsldr.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
リモート ボリューム管理 (RPC-EPMAP)	リモート ボリューム管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
ルーティングとリモート アクセス (GRE 受信)	ルーティングとリモート アクセス	すべて	いいえ	許可	いいえ	System	任意	任意	GRE	任意	任意	任意	任意	任意	任意	任意	
ルーティングとリモート アクセス (L2TP 受信)	ルーティングとリモート アクセス	すべて	いいえ	許可	いいえ	System	任意	任意	UDP	1701	任意	任意	任意	任意	任意	任意	
ルーティングとリモート アクセス (PPTP 受信)	ルーティングとリモート アクセス	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	1723	任意	任意	任意	任意	任意	任意	
分散トランザクション コーディネーター (RPC)	分散トランザクション コーディネーター	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
分散トランザクション コーディネーター (RPC-EPMAP)	分散トランザクション コーディネーター	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
分散トランザクション コーディネーター (TCP 受信)	分散トランザクション コーディネーター	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\msdtc.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
